"","percentile","suitability","km2"
"260","26.0%",0.000818719010567293,52418.237558132
"261","26.1%",0.000825966832053382,52347.3841492505
"262","26.2%",0.000832484816783108,52276.530740369
"263","26.3%",0.000839134138368536,52205.6773314875
"264","26.4%",0.000844518537633121,52134.8239226061
"265","26.5%",0.000851539283758029,52063.9705137246
"266","26.6%",0.000858677350333892,51993.1171048431
"267","26.7%",0.000864181542419828,51922.2636959616
"268","26.8%",0.000870708469301463,51851.4102870801
"269","26.9%",0.000877057228353806,51780.5568781986
"270","27.0%",0.000884267996298149,51709.7034693172
"271","27.1%",0.000889767821354326,51638.8500604357
"272","27.2%",0.000897108996286988,51567.9966515542
"273","27.3%",0.00090437669568928,51497.1432426727
"274","27.4%",0.000911202636780217,51426.2898337912
"275","27.5%",0.00091824682749575,51355.4364249097
"276","27.6%",0.000926043163053691,51284.5830160283
"277","27.7%",0.000933126141899265,51213.7296071468
"278","27.8%",0.000940251865540631,51142.8761982653
"279","27.9%",0.000947612605523319,51072.0227893838
"280","28.0%",0.000954617687966675,51001.1693805023
"281","28.1%",0.000961507821921259,50931.0540279634
"282","28.2%",0.000968064641347156,50860.2006190819
"283","28.3%",0.000975553604075685,50789.3472102004
"284","28.4%",0.000983020232524723,50718.4938013189
"285","28.5%",0.00098912778776139,50646.9023360949
"286","28.6%",0.000996682129334659,50576.786983556
"287","28.7%",0.00100379318464547,50505.9335746745
"288","28.8%",0.00101332501508296,50435.080165793
"289","28.9%",0.00102105700061657,50364.2267569115
"290","29.0%",0.00102845660876483,50293.37334803
"291","29.1%",0.00103763030492701,50222.5199391485
"292","29.2%",0.00104452233063057,50151.6665302671
"293","29.3%",0.00105259235424455,50080.8131213856
"294","29.4%",0.0010605136747472,50009.9597125041
"295","29.5%",0.00106650726229418,49939.1063036226
"296","29.6%",0.00107577673625201,49868.2528947411
"297","29.7%",0.00108330001530703,49797.3994858596
"298","29.8%",0.00109094270155765,49726.5460769782
"299","29.9%",0.00109879715892021,49655.6926680967
"300","30.0%",0.00110805407166481,49584.8392592152
"301","30.1%",0.00111566355917603,49513.2477939912
"302","30.2%",0.00112297410378233,49443.1324414522
"303","30.3%",0.00113154356367886,49372.2790325707
"304","30.4%",0.0011411978630349,49301.4256236893
"305","30.5%",0.00114932800352108,49230.5722148078
